amount,transaction_hour,foreign_transaction,location_mismatch,device_trust_score,velocity_last_24h,cardholder_age,merchant_category,fraud_probability,prediction
95000.0,2,1,1,10,15,25,Electronics,62.0,Fraud
500.0,14,0,0,90,2,25,Grocery,0.0,Genuine
1500.0,12,0,0,85,3,30,Food,0.0,Genuine
95000.0,2,1,1,15,15,25,Electronics,62.0,Fraud
25000.0,3,1,1,20,12,28,Travel,62.0,Fraud
800.0,18,0,0,95,1,35,Food,0.0,Genuine
1200.0,10,0,0,95,1,30,Food,0.0,Genuine
2500.0,18,0,0,85,3,35,Grocery,0.0,Genuine
75000.0,1,1,1,15,12,24,Travel,67.0,Fraud
18000.0,3,1,1,30,9,29,Electronics,69.0,Fraud
900.0,16,0,0,92,2,40,Food,0.0,Genuine
500.0,14,0,0,90,2,25,Grocery,0.0,Genuine
95000.0,2,1,1,10,15,25,Electronics,62.0,Fraud
95000.0,2,1,1,10,15,25,Electronics,62.0,Fraud
500.0,14,0,0,90,2,25,Grocery,0.0,Genuine
95000.0,2,1,1,10,15,25,Electronics,62.0,Fraud
500.0,14,0,0,90,2,25,Grocery,0.0,Genuine
95000.0,2,1,1,10,15,25,Electronics,62.0,Fraud
